university,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
UNIVERSITY OF MICHIGAN,604.0,40.0,113.0,26.0,198.0,30.0,63.0,105.0,159.0,54.0,113.0,40.0,79.0,35.0,52.0,58.0,89.0,47.0,207.0,24.0,15.0,46.0
UNIVERSITY OF MICHIGAN SYSTEM,598.0,39.0,110.0,25.0,191.0,28.0,60.0,104.0,157.0,54.0,111.0,39.0,78.0,34.0,51.0,57.0,88.0,46.0,206.0,23.0,14.0,45.0
UNIVERSITY OF MILAN,50.0,193.0,328.0,87.0,776.0,,1074.0,403.0,552.0,133.0,981.0,154.0,249.0,241.0,,154.0,69.0,223.0,165.0,379.0,420.0,211.0
UNIVERSITY OF MINNESOTA SYSTEM,66.0,98.0,128.0,112.0,237.0,65.0,248.0,28.0,163.0,89.0,332.0,56.0,49.0,113.0,,105.0,149.0,93.0,39.0,45.0,43.0,185.0
UNIVERSITY OF MINNESOTA TWIN CITIES,82.0,104.0,137.0,120.0,243.0,69.0,257.0,36.0,184.0,95.0,346.0,66.0,50.0,120.0,,109.0,170.0,96.0,45.0,48.0,45.0,188.0
UNIVERSITY OF MISSOURI SYSTEM,245.0,307.0,433.0,366.0,179.0,170.0,222.0,438.0,487.0,614.0,230.0,170.0,439.0,473.0,,525.0,266.0,711.0,91.0,122.0,168.0,
UNIVERSITY OF MUNICH,871.0,115.0,258.0,103.0,351.0,180.0,1914.0,422.0,196.0,70.0,335.0,304.0,176.0,66.0,114.0,53.0,185.0,94.0,167.0,77.0,186.0,104.0
UNIVERSITY OF NAPLES FEDERICO II,48.0,208.0,224.0,267.0,313.0,449.0,144.0,368.0,319.0,312.0,499.0,169.0,329.0,375.0,,385.0,78.0,86.0,170.0,641.0,418.0,
UNIVERSITY OF NEW SOUTH WALES SYDNEY,236.0,196.0,96.0,111.0,36.0,72.0,47.0,53.0,67.0,96.0,90.0,132.0,159.0,180.0,157.0,78.0,182.0,414.0,248.0,27.0,53.0,
UNIVERSITY OF NORTH CAROLINA,193.0,65.0,165.0,46.0,164.0,20.0,252.0,106.0,213.0,52.0,222.0,58.0,36.0,41.0,108.0,67.0,21.0,659.0,121.0,19.0,8.0,
