university,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
UNIVERSITY OF CENTRAL FLORIDA,1323.0,1109.0,971.0,1218.0,462.0,325.0,353.0,785.0,1110.0,,454.0,,,,,1041.0,,520.0,1714.0,344.0,184.0,
UNIVERSITY OF CONNECTICUT,440.0,438.0,516.0,680.0,756.0,306.0,516.0,253.0,467.0,533.0,437.0,268.0,350.0,422.0,,481.0,365.0,714.0,353.0,121.0,192.0,
UNIVERSITY OF ESSEX,,,,3319.0,342.0,168.0,1239.0,1459.0,,,,,,,,,,,875.0,500.0,359.0,
UNIVERSITY OF HAIFA,,,,1076.0,,,2434.0,911.0,898.0,,,,,,,707.0,,,857.0,199.0,290.0,
UNIVERSITY OF HOUSTON,,970.0,471.0,1448.0,153.0,260.0,387.0,952.0,378.0,971.0,326.0,,,1047.0,,844.0,732.0,564.0,,195.0,253.0,
UNIVERSITY OF HOUSTON SYSTEM,,970.0,470.0,1448.0,153.0,259.0,387.0,952.0,378.0,971.0,326.0,,,1047.0,,844.0,732.0,564.0,,195.0,253.0,
UNIVERSITY OF ILLINOIS CHICAGO,1174.0,270.0,475.0,278.0,262.0,256.0,524.0,843.0,1128.0,374.0,445.0,315.0,468.0,397.0,,241.0,206.0,419.0,1474.0,140.0,151.0,
UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL,1178.0,285.0,500.0,282.0,265.0,257.0,531.0,847.0,1133.0,376.0,450.0,318.0,479.0,417.0,,243.0,210.0,512.0,1474.0,141.0,153.0,
UNIVERSITY OF INTERNATIONAL BUSINESS & ECONOMICS,,,,,,123.0,1464.0,1555.0,,,,,,,,,,,,,639.0,
UNIVERSITY OF IOWA,,370.0,980.0,226.0,573.0,341.0,945.0,747.0,316.0,255.0,1382.0,273.0,181.0,291.0,,195.0,329.0,328.0,1642.0,164.0,204.0,
UNIVERSITY OF MARYLAND BALTIMORE,1315.0,257.0,1175.0,233.0,,,,1771.0,,140.0,1364.0,,154.0,262.0,181.0,156.0,197.0,,1038.0,267.0,326.0,
UNIVERSITY OF MIAMI,1372.0,485.0,1296.0,207.0,687.0,254.0,1580.0,609.0,203.0,298.0,1317.0,,656.0,238.0,,155.0,432.0,,517.0,152.0,260.0,
UNIVERSITY OF MISSOURI COLUMBIA,265.0,373.0,894.0,718.0,477.0,352.0,840.0,697.0,721.0,,802.0,358.0,553.0,585.0,,709.0,930.0,,109.0,169.0,240.0,
UNIVERSITY OF NEWCASTLE,297.0,827.0,700.0,388.0,315.0,79.0,336.0,310.0,534.0,554.0,669.0,,,501.0,,406.0,386.0,,910.0,301.0,180.0,
UNIVERSITY OF NORTH CAROLINA SCHOOL OF MEDICINE,,396.0,794.0,320.0,,,2430.0,1120.0,,240.0,851.0,,312.0,279.0,,412.0,294.0,,1466.0,237.0,195.0,
UNIVERSITY OF NOTRE DAME,,562.0,415.0,2827.0,451.0,156.0,576.0,465.0,877.0,,683.0,348.0,,,,,,370.0,1347.0,300.0,509.0,
UNIVERSITY OF OREGON,,705.0,996.0,3332.0,,300.0,,951.0,472.0,,1504.0,,803.0,,,615.0,,260.0,1228.0,187.0,348.0,
UNIVERSITY OF OTAGO,210.0,474.0,1247.0,358.0,,385.0,2661.0,495.0,489.0,440.0,1559.0,,367.0,714.0,,418.0,486.0,,513.0,177.0,223.0,
UNIVERSITY OF ROCHESTER,,327.0,732.0,252.0,,467.0,1452.0,1335.0,667.0,261.0,902.0,,433.0,373.0,,148.0,558.0,225.0,,149.0,406.0,
UNIVERSITY OF SOUTH CAROLINA COLUMBIA,528.0,1025.0,524.0,842.0,589.0,129.0,598.0,643.0,554.0,941.0,601.0,182.0,,1103.0,,514.0,914.0,647.0,1212.0,290.0,120.0,
UNIVERSITY OF SOUTH CAROLINA SYSTEM,528.0,1022.0,524.0,842.0,589.0,129.0,598.0,643.0,554.0,941.0,601.0,182.0,,1103.0,,514.0,914.0,647.0,1212.0,290.0,119.0,
UNIVERSITY OF SOUTH FLORIDA,1160.0,548.0,480.0,367.0,460.0,465.0,654.0,544.0,375.0,365.0,761.0,205.0,446.0,569.0,,367.0,511.0,,810.0,175.0,183.0,
UNIVERSITY OF SOUTHERN DENMARK,975.0,377.0,1206.0,160.0,,278.0,454.0,441.0,,231.0,1123.0,,559.0,386.0,,323.0,372.0,871.0,1356.0,283.0,165.0,
UNIVERSITY OF ST GALLEN,,,,,,107.0,,,,,,,,,,,,,,,884.0,
UNIVERSITY OF SUSSEX,,808.0,1458.0,830.0,,145.0,1003.0,398.0,,779.0,,,,876.0,,509.0,884.0,301.0,853.0,172.0,132.0,140.0
UNIVERSITY OF TENNESSEE KNOXVILLE,232.0,513.0,197.0,1779.0,633.0,166.0,188.0,345.0,545.0,,112.0,327.0,232.0,,,,1256.0,163.0,155.0,465.0,294.0,
UNIVERSITY OF TEXAS DALLAS,,1574.0,909.0,2383.0,267.0,199.0,477.0,,637.0,,364.0,,,937.0,,480.0,,417.0,,495.0,583.0,
UNIVERSITY OF TWENTE,1150.0,1475.0,506.0,1062.0,546.0,167.0,318.0,463.0,261.0,,431.0,,,,,1024.0,407.0,721.0,,459.0,278.0,
UNIVERSITY OF WITWATERSRAND,,1085.0,1058.0,403.0,,,1184.0,581.0,410.0,176.0,1580.0,,555.0,924.0,,832.0,686.0,394.0,780.0,849.0,172.0,
UNIVERSITY OF YORK - UK,963.0,543.0,522.0,365.0,550.0,230.0,872.0,324.0,542.0,949.0,1154.0,,605.0,862.0,,671.0,719.0,493.0,521.0,192.0,140.0,
VIRGINIA COMMONWEALTH UNIVERSITY,,558.0,912.0,279.0,846.0,,1720.0,1255.0,,655.0,979.0,,562.0,378.0,,290.0,267.0,,1614.0,126.0,264.0,
WESTERN SYDNEY UNIVERSITY,523.0,1315.0,1633.0,526.0,585.0,,421.0,195.0,969.0,932.0,964.0,,453.0,,,399.0,1213.0,,233.0,194.0,283.0,
WESTERN UNIVERSITY (UNIVERSITY OF WESTERN ONTARIO),954.0,416.0,542.0,231.0,259.0,150.0,367.0,484.0,507.0,705.0,361.0,,416.0,603.0,,152.0,456.0,,431.0,150.0,185.0,
YORK UNIVERSITY - CANADA,,807.0,1581.0,1133.0,452.0,141.0,736.0,926.0,797.0,,,,,,,712.0,,523.0,1424.0,234.0,319.0,
ZHONGNAN UNIVERSITY OF ECONOMICS & LAW,,,,,569.0,188.0,1306.0,1338.0,,,,,,,,,,,,,817.0,
