Similar to EAST CHINA NORMAL UNIVERSITY (N=9989)
 239. POLYTECHNIC UNIVERSITY OF TURIN | sim=0.8568
 240. ZHENGZHOU UNIVERSITY | sim=0.8567
 241. PEKING UNIVERSITY | sim=0.8567
 242. BEIJING INSTITUTE OF TECHNOLOGY | sim=0.8563
 243. WESTERN UNIVERSITY (UNIVERSITY OF WESTERN ONTARIO) | sim=0.8562
 244. NORTHWESTERN POLYTECHNICAL UNIVERSITY | sim=0.8553
 245. SIMON FRASER UNIVERSITY | sim=0.8552
 246. UNIVERSITY OF OKLAHOMA SYSTEM | sim=0.8551
 247. UNIVERSITY OF NEW MEXICO | sim=0.8550
 248. FUDAN UNIVERSITY | sim=0.8545
 249. NATIONAL UNIVERSITY OF SINGAPORE | sim=0.8540
 250. UNIV BOURGOGNE FRANCHE-COMTE COMUE | sim=0.8539
 251. UNIVERSITY OF TOKYO | sim=0.8536
 252. GHENT UNIVERSITY | sim=0.8535
 253. UNIVERSITY AT BUFFALO, SUNY | sim=0.8532
 254. MAX PLANCK SOCIETY | sim=0.8527
 255. UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL | sim=0.8524
 256. CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET) | sim=0.8522
 257. UNIVERSITY OF SURREY | sim=0.8520
 258. UNIVERSITY OF MASSACHUSETTS SYSTEM | sim=0.8517
 259. UNIVERSITE DE LILLE | sim=0.8510
 260. POLYTECHNIC UNIVERSITY OF MILAN | sim=0.8510
 261. UNIVERSITY OF WARWICK | sim=0.8506
 262. AALTO UNIVERSITY | sim=0.8504
 263. KU LEUVEN | sim=0.8502
 264. CZECH ACADEMY OF SCIENCES | sim=0.8500
 265. UNIVERSITY COLLEGE DUBLIN | sim=0.8499
 266. UNIVERSITY OF KENTUCKY | sim=0.8498
 267. CHINA UNIVERSITY OF MINING & TECHNOLOGY | sim=0.8497
 268. DEAKIN UNIVERSITY | sim=0.8496
 269. HELMHOLTZ ASSOCIATION | sim=0.8492
 270. NORTHWEST UNIVERSITY XI'AN | sim=0.8489
 271. UPPSALA UNIVERSITY | sim=0.8487
 272. BEIJING UNIVERSITY OF TECHNOLOGY | sim=0.8486
 273. RUHR UNIVERSITY BOCHUM | sim=0.8485
 274. UNIVERSITY OF CALIFORNIA BERKELEY | sim=0.8485
 275. PRINCETON UNIVERSITY | sim=0.8479
 276. WEST VIRGINIA UNIVERSITY | sim=0.8477
 277. UNIVERSITY OF UTAH | sim=0.8477
 278. IMPERIAL COLLEGE LONDON | sim=0.8473
 279. CHINA UNIVERSITY OF GEOSCIENCES | sim=0.8472
 280. UNIVERSITY OF NEW BRUNSWICK | sim=0.8470
 281. UNIVERSITY OF CALIFORNIA DAVIS | sim=0.8466
 282. STATE UNIVERSITY SYSTEM OF FLORIDA | sim=0.8463
 283. UNIV NANTES ANGERS LE MANS | sim=0.8461
 284. UNIVERSITY OF COLORADO SYSTEM | sim=0.8458
 285. UNITED STATES DEPARTMENT OF ENERGY (DOE) | sim=0.8457
 286. OHIO STATE UNIVERSITY | sim=0.8454
 287. UNIVERSITY OF CALIFORNIA LOS ANGELES | sim=0.8452
 288. KYUNG HEE UNIVERSITY | sim=0.8452
 289. COMPLUTENSE UNIVERSITY OF MADRID | sim=0.8450
 290. UNIVERSITY OF OVIEDO | sim=0.8450
 291. MONASH UNIVERSITY | sim=0.8447
 292. YONSEI UNIVERSITY | sim=0.8446
 293. MCMASTER UNIVERSITY | sim=0.8444
 294. UNIVERSITY OF MILANO-BICOCCA | sim=0.8443
 295. UNIVERSITY OF NORTH CAROLINA | sim=0.8441
 296. AUTONOMOUS UNIVERSITY OF BARCELONA | sim=0.8441
 297. UNIVERSITY OF OSLO | sim=0.8438
 298. TON DUC THANG UNIVERSITY | sim=0.8431
 299. UNIVERSITY OF NEBRASKA SYSTEM | sim=0.8431
 300. OREGON STATE UNIVERSITY | sim=0.8430
 301. UNIVERSITY SYSTEM OF MARYLAND | sim=0.8428
 302. UNIVERSITY OF FLORIDA | sim=0.8422
 303. UNIVERSIDADE DO PORTO | sim=0.8420
 304. FRAUNHOFER GESELLSCHAFT | sim=0.8419
 305. LINKOPING UNIVERSITY | sim=0.8415
 306. UNIVERSITE CATHOLIQUE LOUVAIN | sim=0.8414
 307. UNIVERSITI SAINS MALAYSIA | sim=0.8414
 308. UNIVERSITY OF SHERBROOKE | sim=0.8412
 309. JINAN UNIVERSITY | sim=0.8411
 310. STOCKHOLM UNIVERSITY | sim=0.8409
 311. UNIVERSITY OF CENTRAL FLORIDA | sim=0.8406
 312. UNIVERSITY SYSTEM OF OHIO | sim=0.8405
 313. UNIVERSITY OF BELGRADE | sim=0.8403
 314. OCEAN UNIVERSITY OF CHINA | sim=0.8401
 315. SORBONNE UNIVERSITE | sim=0.8400
 316. RESEARCH CENTER JULICH | sim=0.8399
 317. UNIVERSITY OF SOUTHERN QUEENSLAND | sim=0.8399
 318. JIANGSU UNIVERSITY | sim=0.8398
 319. UNIVERSITY OF BREMEN | sim=0.8394
 320. SUNGKYUNKWAN UNIVERSITY (SKKU) | sim=0.8391
 321. UNIVERSITY OF MELBOURNE | sim=0.8388
 322. STANFORD UNIVERSITY | sim=0.8386
 323. EDITH COWAN UNIVERSITY | sim=0.8379
 324. PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE) | sim=0.8378
 325. UNIVERSITI KEBANGSAAN MALAYSIA | sim=0.8376
 326. UNIVERSITY OF WASHINGTON SEATTLE | sim=0.8373
 327. UNIVERSITY OF EDINBURGH | sim=0.8372
 328. UNIVERSITY OF PAVIA | sim=0.8368
 329. UNIVERSITY OF PERUGIA | sim=0.8367
 330. LUND UNIVERSITY | sim=0.8365
 331. XINJIANG UNIVERSITY | sim=0.8364
 332. UNIVERSITY OF MICHIGAN | sim=0.8362
 333. QUAID I AZAM UNIVERSITY | sim=0.8361
 334. UNIVERSITY OF MICHIGAN SYSTEM | sim=0.8361
 335. UNIVERSITY OF TORONTO | sim=0.8361
 336. UNIVERSITY OF WASHINGTON | sim=0.8360
 337. UNIVERSITY OF CALIFORNIA SAN DIEGO | sim=0.8358
 338. UNIVERSITY OF WESTERN AUSTRALIA | sim=0.8358
 339. UNIVERSITY OF CAMBRIDGE | sim=0.8357
 340. UNIVERSITY OF NOTTINGHAM | sim=0.8356
 341. UNIVERSITY OF PUNJAB | sim=0.8356
 342. COLORADO STATE UNIVERSITY SYSTEM | sim=0.8352
 343. INDIAN INSTITUTE OF TECHNOLOGY (IIT) - DELHI | sim=0.8351
